user_id,Recency,frequency,monetory,cluster
1.5159156254946442e+18,5,1,30.07,0
1.5159156255145713e+18,5,1,138.63,0
1.515915625513802e+18,5,1,2025.44,0
1.5159156255145938e+18,5,261,51912.18,2
1.5159156254545183e+18,5,1,17.78,0
1.515915625514346e+18,5,1,48.59,0
1.5159156255146035e+18,5,1,20.79,0
1.5159156254820383e+18,5,1,208.31,0
1.515915625514608e+18,5,1,237.25,0
1.5159156255145546e+18,5,2,2105.9500000000003,0
1.5159156255146153e+18,5,1,381.92,0
1.515915625514627e+18,5,1,925.67,0
1.515915625514632e+18,5,1,150.44,0
1.5159156255146327e+18,5,1,532.38,0
1.515915625510297e+18,5,1,208.31,0
1.5159156255146742e+18,5,2,1041.58,0
1.515915625514611e+18,5,10,2291.4500000000003,0
1.515915625513905e+18,5,1,925.67,0
1.5159156255133606e+18,5,1,1620.3,0
1.5159156255146924e+18,5,1,856.23,0
1.515915625447014e+18,5,1,126.6,0
1.515915625514695e+18,5,1,208.31,0
1.5159156254974287e+18,5,1,462.94,0
1.5159156255127155e+18,5,1,26.13,0
1.5159156255147192e+18,5,277,61898.3,2
1.5159156255147195e+18,5,270,62990.35,2
1.5159156255146012e+18,5,1,833.31,0
1.5159156255129167e+18,5,1,91.64,0
1.5159156255134167e+18,5,1,405.07,0
1.515915625514742e+18,5,2,36.3,0
1.5159156255147436e+18,5,3,2729.56,0
1.5159156254683569e+18,5,1,43.96,0
1.5159156255143764e+18,5,1,300.9,0
1.515915625514774e+18,5,1,856.23,0
1.5159156255147313e+18,5,1,856.23,0
1.5159156255147835e+18,5,1,3.45,0
1.5159156255147994e+18,5,44,16331.47,3
1.5159156254410808e+18,5,1,1291.62,0
1.515915625514802e+18,5,249,46704.000000000015,2
1.5159156254477207e+18,5,1,8.98,0
1.5159156255142065e+18,5,1,20.09,0
1.5159156255148083e+18,5,1,36.78,0
1.5159156255146762e+18,5,1,85.37,0
1.5159156254591688e+18,5,1,1574.05,0
1.515915625514749e+18,5,1,115.72,0
1.5159156255146278e+18,5,2,2568.69,0
1.5159156255127145e+18,5,1,185.16,0
1.5159156255144727e+18,5,1,1574.05,0
1.515915625514022e+18,5,1,127.29,0
1.5159156254671752e+18,5,1,1574.05,0
1.5159156255148723e+18,5,1,173.59,0
1.5159156255092155e+18,5,1,437.48,0
1.515915625514502e+18,5,1,1574.05,0
1.5159156254503828e+18,4,4,642.92,0
1.5159156254521492e+18,4,1,32.38,0
1.515915625452245e+18,4,3,976.55,0
1.515915625441395e+18,4,2,309.0,0
1.515915625452251e+18,4,2,432.83,0
1.5159156254521137e+18,4,6,1065.12,0
